iter	Accuracy	MultiClass
961	1	0.01590312754
962	1	0.01588540592
963	1	0.0158808876
964	1	0.01585598829
965	1	0.01582750991
966	1	0.01582350218
967	1	0.01580899358
968	1	0.01577541434
969	1	0.01577427523
970	1	0.01574069318
971	1	0.01571101147
972	1	0.0157034213
973	1	0.01569479151
974	1	0.01568086523
975	1	0.01566255426
976	1	0.01563636688
977	1	0.01561926008
978	1	0.01559851431
979	1	0.01558880633
980	1	0.01557463231
981	1	0.01555789958
982	1	0.01553803198
983	1	0.01553240249
984	1	0.01550811294
985	1	0.01548415593
986	1	0.01543725901
987	1	0.01543676703
988	1	0.01542175095
989	1	0.01539973721
990	1	0.01538631688
991	1	0.01536772546
992	1	0.01535050401
993	1	0.01533550868
994	1	0.01530301285
995	1	0.01528533913
996	1	0.01526792096
997	1	0.015243096
998	1	0.01522609761
999	1	0.01520379847
1000	1	0.01517774446
1001	1	0.01514985135
1002	1	0.01512881589
1003	1	0.01512030938
1004	1	0.01509799676
1005	1	0.0150916805
1006	1	0.01506369429
1007	1	0.01504603945
1008	1	0.01501796343
1009	1	0.01500128982
1010	1	0.01497600835
1011	1	0.01496591642
1012	1	0.01494182472
1013	1	0.01492391556
1014	1	0.01490426438
1015	1	0.01488870667
1016	1	0.01486787575
1017	1	0.01484072486
1018	1	0.01482688359
1019	1	0.01481600087
1020	1	0.01479992594
1021	1	0.01477419906
1022	1	0.01475018831
1023	1	0.01473550562
1024	1	0.01470904964
1025	1	0.01468869441
1026	1	0.01468858995
1027	1	0.01467142553
1028	1	0.01466357128
1029	1	0.01463666882
1030	1	0.01461708094
1031	1	0.01459089277
1032	1	0.01457971439
1033	1	0.01455150805
1034	1	0.01453798436
1035	1	0.01451312393
1036	1	0.01449407893
1037	1	0.01447395696
1038	1	0.01444640393
1039	1	0.01444336882
1040	1	0.01442194927
1041	1	0.014415374
1042	1	0.01441432332
1043	1	0.0143935472
1044	1	0.01436711344
1045	1	0.01434366594
1046	1	0.01432328755
1047	1	0.01430167077
1048	1	0.01429080317
1049	1	0.01428010089
1050	1	0.01425455091
1051	1	0.01423804308
1052	1	0.01421687616
1053	1	0.01418421866
1054	1	0.01415544934
1055	1	0.01414487016
1056	1	0.01412203023
1057	1	0.01410396362
1058	1	0.01409096981
1059	1	0.01408083676
1060	1	0.01406773691
1061	1	0.01404991798
1062	1	0.01402695344
1063	1	0.01402421615
1064	1	0.01400725966
1065	1	0.013990092
1066	1	0.01398780417
1067	1	0.01396212701
1068	1	0.01395407786
1069	1	0.01394310751
1070	1	0.01391136187
1071	1	0.01389735986
1072	1	0.0138867643
1073	1	0.01386588484
1074	1	0.01385474591
1075	1	0.01383829484
1076	1	0.01382362471
1077	1	0.01380421586
1078	1	0.01379596791
1079	1	0.0137757473
1080	1	0.01376193438
1081	1	0.01374285759
1082	1	0.01373786477
1083	1	0.01372659678
1084	1	0.01371216543
1085	1	0.01368811851
1086	1	0.01366835795
1087	1	0.01365329197
1088	1	0.01364507072
1089	1	0.01363632465
1090	1	0.01361439439
1091	1	0.01359676014
1092	1	0.01359671641
1093	1	0.01357839433
1094	1	0.01356410196
1095	1	0.01355556245
1096	1	0.01353869379
1097	1	0.01353109728
1098	1	0.01350543466
1099	1	0.01349173504
1100	1	0.01348039322
1101	1	0.01345231793
1102	1	0.01343183921
1103	1	0.01342641495
1104	1	0.01340368978
1105	1	0.01338496598
1106	1	0.01337679282
1107	1	0.01335879178
1108	1	0.01334916376
1109	1	0.01334425817
1110	1	0.01333596461
1111	1	0.01332669293
1112	1	0.01330656218
1113	1	0.01329653721
1114	1	0.01327843292
1115	1	0.01326027323
1116	1	0.01325188941
1117	1	0.01323866208
1118	1	0.01322135425
1119	1	0.01320643079
1120	1	0.0131954905
1121	1	0.01317669619
1122	1	0.01316625687
1123	1	0.01315321279
1124	1	0.01314720914
1125	1	0.01313442149
1126	1	0.01312249484
1127	1	0.01310793249
1128	1	0.01308418246
1129	1	0.01305887552
1130	1	0.01304211457
1131	1	0.01303507762
1132	1	0.01302451881
1133	1	0.01301288583
1134	1	0.01299979698
1135	1	0.01298061705
1136	1	0.01296883211
1137	1	0.01295524125
1138	1	0.01294705066
1139	1	0.01293216572
1140	1	0.01292596408
1141	1	0.01291508474
1142	1	0.01290771241
1143	1	0.01289286339
1144	1	0.01287751835
1145	1	0.01285819996
1146	1	0.01283548427
1147	1	0.01282375115
1148	1	0.01281207277
1149	1	0.01281206318
1150	1	0.01280523015
1151	1	0.01279337764
1152	1	0.01278279447
1153	1	0.01276879248
1154	1	0.01274859089
1155	1	0.012735096
1156	1	0.0127046131
1157	1	0.01268322755
1158	1	0.0126771706
1159	1	0.01266846228
1160	1	0.01266018618
1161	1	0.01265178701
1162	1	0.01263843025
1163	1	0.01262822312
1164	1	0.01261290861
1165	1	0.01259550436
1166	1	0.01257928335
1167	1	0.01255787088
1168	1	0.01254497832
1169	1	0.01252554984
1170	1	0.01251419985
1171	1	0.01250589211
1172	1	0.01250573432
1173	1	0.01249618942
1174	1	0.0124886749
1175	1	0.01247264723
1176	1	0.01246261585
1177	1	0.01244881227
1178	1	0.01244665026
1179	1	0.01243035322
1180	1	0.01241546363
